text,intent,language
shipment track nahi ho raha this is urgent,Delivery Inquiry,Hindi
ఖాతా పునరుద్ధరణ చేయాలి this is urgent,Account Recovery,Telugu
product broken ga vachindi can you check this issue,Product Defect,Telugu
I keep seeing an error message can you check this issue,Technical Support,English
full amount refund kavali I need support today,Refund Request,Telugu
account mein login nahi ho raha,Account Recovery,Hindi
nanage refund beku can you check this issue,Refund Request,Kannada
refund inka raledu can you check this issue,Refund Request,Telugu
nanage refund beku this is urgent,Refund Request,Kannada
ಪ್ಯಾಕೇಜ್ ಇನ್ನೂ ಬಂದಿಲ್ಲ please help me quickly,Delivery Inquiry,Kannada
I received a damaged product please help me quickly,Product Defect,English
ஆன்லைன் பணம் வேலை செய்யவில்லை,Payment Failure,Tamil
mere account se zyada paise kate this is urgent,Billing Dispute,Hindi
ప్యాకేజ్ ఇంకా రాలేదు I need support today,Delivery Inquiry,Telugu
I cannot connect to the server I need support today,Technical Support,English
refund inka raledu I need support today,Refund Request,Telugu
password marandhu vitten,Account Recovery,Tamil
parcel eppudu deliver avutundi please help me quickly,Delivery Inquiry,Telugu
enakku rendu murai charge pannirukanga I need support today,Billing Dispute,Tamil
refund eppudu vastundi this is urgent,Refund Request,Telugu
ऑनलाइन पेमेंट काम नहीं कर रहा,Payment Failure,Hindi
பரிவர்த்தனை முடிந்துவிடவில்லை can you check this issue,Payment Failure,Tamil
device kaam nahi kar raha can you check this issue,Product Defect,Hindi
account mein login nahi ho raha can you check this issue,Account Recovery,Hindi
poora paisa wapas chahiye can you check this issue,Refund Request,Hindi
unauthorized charge lagaya gaya I need support today,Billing Dispute,Hindi
server connect aagavillai I need support today,Technical Support,Tamil
software install avvatledu,Technical Support,Telugu
device pani cheyatledu can you check this issue,Product Defect,Telugu
मेरे खाते से ज्यादा पैसे काटे please help me quickly,Billing Dispute,Hindi
सर्वर से कनेक्ट नहीं हो रहा can you check this issue,Technical Support,Hindi
package abhi tak nahi aaya I need support today,Delivery Inquiry,Hindi
upi payment fail ayyindi I need support today,Payment Failure,Telugu
क्षतिग्रस्त पणय मिला can you check this issue,Product Defect,Hindi
నాకు రిఫండ్ కావాలి please help me quickly,Refund Request,Telugu
upi payment fail agide,Payment Failure,Kannada
en payment fail aanathu this is urgent,Payment Failure,Tamil
delivery late ho rahi hai this is urgent,Delivery Inquiry,Hindi
ನನ್ನ ಪೇಮೆಂಟ್ ವಿಫಲವಾಗಿದೆ please help me quickly,Payment Failure,Kannada
saman kharab nikla I need support today,Product Defect,Hindi
పరికరం పని చేయటం లేదు can you check this issue,Product Defect,Telugu
నా పేమెంట్ విఫలమయ్యింది this is urgent,Payment Failure,Telugu
Extra fees were added to my bill this is urgent,Billing Dispute,English
invoice galat hai this is urgent,Billing Dispute,Hindi
card payment agalilla I need support today,Payment Failure,Kannada
मेरा ऑर्डर कहाँ है this is urgent,Delivery Inquiry,Hindi
கணக்கிலிருந்து அதிக பணம் வெட்டப்பட்டுள்ளது please help me quickly,Billing Dispute,Tamil
ఖాతా లాక్ అయ్యిపోయింది this is urgent,Account Recovery,Telugu
poora paisa wapas chahiye I need support today,Refund Request,Hindi
ಖಾತೆ ಲಾಕ್ ಆಗಿದೆ this is urgent,Account Recovery,Kannada
मेरा पेमेंट फेल हो गया can you check this issue,Payment Failure,Hindi
When will my parcel be delivered this is urgent,Delivery Inquiry,English
account ninda hecchu hana kaditagide can you check this issue,Billing Dispute,Kannada
ఖాతా పునరుద్ధరణ చేయాలి,Account Recovery,Telugu
ಪಾರ್ಸೆಲ್ ಯಾವಾಗ ಡೆಲಿವರ್ ಆಗುತ್ತೆ please help me quickly,Delivery Inquiry,Kannada
मुझे रिफंड चाहिए can you check this issue,Refund Request,Hindi
panam thirumba kodungal can you check this issue,Refund Request,Tamil
unauthorized charge potirukanga please help me quickly,Billing Dispute,Tamil
प्रोडक्ट टूटा हुआ है please help me quickly,Product Defect,Hindi
password reset aguttilla can you check this issue,Account Recovery,Kannada
website nahi khul rahi please help me quickly,Technical Support,Hindi
account mein login nahi ho raha please help me quickly,Account Recovery,Hindi
I need help recovering my account this is urgent,Account Recovery,English
mujhe refund chahiye,Refund Request,Hindi
shipment track nahi ho raha I need support today,Delivery Inquiry,Hindi
upi payment fail ho gaya,Payment Failure,Hindi
card se bhugtan nahi hua this is urgent,Payment Failure,Hindi
मुझे रिफंड चाहिए,Refund Request,Hindi
I want a refund for my order please help me quickly,Refund Request,English
Please process a full refund,Refund Request,English
ನನಗೆ ರಿಫಂಡ್ ಬೇಕು,Refund Request,Kannada
package innu bandilla I need support today,Delivery Inquiry,Kannada
Where is my order please help me quickly,Delivery Inquiry,English
सॉफ़्टवेयर इंस्टॉल नहीं हो रहा can you check this issue,Technical Support,Hindi
ರಿಫಂಡ್ ಯಾವಾಗ ಬರುತ್ತೆ can you check this issue,Refund Request,Kannada
bill amount tappuga undi,Billing Dispute,Telugu
मुझे दो बार चार्ज किया गया please help me quickly,Billing Dispute,Hindi
nannu rendu sarlu charge chesaru,Billing Dispute,Telugu
account login aguttilla,Account Recovery,Kannada
ఎంపిఐ పేమెంట్ విఫలమయ్యింది this is urgent,Payment Failure,Telugu
When will I get my refund this is urgent,Refund Request,English
I need help recovering my account can you check this issue,Account Recovery,English
நான் கடவுச்சொல்லை மறந்துவிட்டேன்,Account Recovery,Tamil
The device is not working,Product Defect,English
account lock ayyindi can you check this issue,Account Recovery,Telugu
damaged product vachindi I need support today,Product Defect,Telugu
enakku rendu murai charge pannirukanga please help me quickly,Billing Dispute,Tamil
ఖాతా నుండి అధిక డబ్బు కత్తిరించారు can you check this issue,Billing Dispute,Telugu
என் பணம் தோல்வியடைந்தது I need support today,Payment Failure,Tamil
When will I get my refund I need support today,Refund Request,English
ಡೆಲಿವರಿ ತಡವಾಗಿದೆ please help me quickly,Delivery Inquiry,Kannada
ವೆಬ್‌ಸೈಟ್ ತೆರೆಯುತ್ತಿಲ್ಲ this is urgent,Technical Support,Kannada
సాఫ్టवేర్ ఇన్‌స్టాల్ చేయటం లేదు please help me quickly,Technical Support,Telugu
ನನಗೆ ರಿಫಂಡ್ ಬೇಕು this is urgent,Refund Request,Kannada
ನನ್ನ ಪೇಮೆಂಟ್ ವಿಫಲವಾಗಿದೆ this is urgent,Payment Failure,Kannada
प्रोडक्ट टूटा हुआ है can you check this issue,Product Defect,Hindi
கணக்கிலிருந்து அதிக பணம் வெட்டப்பட்டுள்ளது I need support today,Billing Dispute,Tamil
கப்பல் கண்காணித்தல் சாத்தியமில்லை can you check this issue,Delivery Inquiry,Tamil
ఖాతా లాక్ అయ్యిపోయింది I need support today,Account Recovery,Telugu
mere account se zyada paise kate I need support today,Billing Dispute,Hindi
పాస్‌వర్డ్ రీసెట్ చేయటం లేదు please help me quickly,Account Recovery,Telugu
मेरा ऑर्डर कहाँ है I need support today,Delivery Inquiry,Hindi
delivery late ayyindi,Delivery Inquiry,Telugu
பணத்திரும்பு இன்னும் வரவில்லை please help me quickly,Refund Request,Tamil
पार्सल कब डिलीवर होगा please help me quickly,Delivery Inquiry,Hindi
पासवर्ड रीसेट नहीं हो रहा,Account Recovery,Hindi
ಖಾತೆಯಲ್ಲಿ ಲಾಗಿನ್ ಆಗುತ್ತಿಲ್ಲ I need support today,Account Recovery,Kannada
ಇನ್‌ವಾಯ್ಸ್ ತಪ್ಪಾಗಿದೆ I need support today,Billing Dispute,Kannada
server connect aagavillai this is urgent,Technical Support,Tamil
card payment jaragaledu please help me quickly,Payment Failure,Telugu
ನನ್ನ ಆರ್ಡರ್ ಎಲ್ಲಿದೆ,Delivery Inquiry,Kannada
The software will not install can you check this issue,Technical Support,English
online payment kaam nahi kar raha can you check this issue,Payment Failure,Hindi
என் ஆர்டர் எங்கே உள்ளது please help me quickly,Delivery Inquiry,Tamil
product toota hua hai I need support today,Product Defect,Hindi
refund innu bandilla please help me quickly,Refund Request,Kannada
ಖಾತೆ ವಿಸ್ತರಿಸಬೇಕು I need support today,Account Recovery,Kannada
error message baruttide please help me quickly,Technical Support,Kannada
package abhi tak nahi aaya please help me quickly,Delivery Inquiry,Hindi
షిప్‌మెంట్ ట్రాక్ చేయటం లేదు,Delivery Inquiry,Telugu
रिफंड कब मिलेगा please help me quickly,Refund Request,Hindi
मेरा खाता लॉक हो गया please help me quickly,Account Recovery,Hindi
server connect aguttilla please help me quickly,Technical Support,Kannada
password marchipoyanu,Account Recovery,Telugu
बिल में गलत राशि है this is urgent,Billing Dispute,Hindi
மென்பொருளைப் பதிக்க முடியவில்லை this is urgent,Technical Support,Tamil
The invoice amount is wrong this is urgent,Billing Dispute,English
invoice galat hai,Billing Dispute,Hindi
mera refund abhi tak nahi mila this is urgent,Refund Request,Hindi
ಪಾಸ್‌ವರ್ಡ್ ಮರೆತಿದ್ದೇನೆ this is urgent,Account Recovery,Kannada
account login aagavillai I need support today,Account Recovery,Tamil
transaction complete agalilla this is urgent,Payment Failure,Kannada
account lock ayyindi this is urgent,Account Recovery,Telugu
पैसे वापस कीजिए please help me quickly,Refund Request,Hindi
పూర్తి మొత్తం రిఫండ్ కావాలి this is urgent,Refund Request,Telugu
Password reset is not working,Account Recovery,English
मेरा ऑर्डर कहाँ है,Delivery Inquiry,Hindi
பொருள் உடைந்து வந்துவிட்டது I need support today,Product Defect,Tamil
bill amount thavaraaga ullathu this is urgent,Billing Dispute,Tamil
mera payment fail ho gaya,Payment Failure,Hindi
refund eppodhu varum please help me quickly,Refund Request,Tamil
website nahi khul rahi can you check this issue,Technical Support,Hindi
डिलीवरी लेट हो रही है please help me quickly,Delivery Inquiry,Hindi
பொருள் குறைபாடுள்ளதாக உள்ளது,Product Defect,Tamil
Where is my order can you check this issue,Delivery Inquiry,English
nanna order ellide I need support today,Delivery Inquiry,Kannada
நான் கடவுச்சொல்லை மறந்துவிட்டேன் I need support today,Account Recovery,Tamil
damaged product vandhathu this is urgent,Product Defect,Tamil
password marchipoyanu this is urgent,Account Recovery,Telugu
నన్ను రెండుసార్లు ఛార్జ్ చేసారు,Billing Dispute,Telugu
password reset aguttilla please help me quickly,Account Recovery,Kannada
The transaction failed after I paid,Payment Failure,English
ಅನುಮತಿರಹಿತ ಚಾರ್ಜ್ ಮಾಡಲಾಗಿದೆ,Billing Dispute,Kannada
खाता वापस लेना है I need support today,Account Recovery,Hindi
account mein login nahi ho raha I need support today,Account Recovery,Hindi
account la irunthu adhiga panam cut aanathu,Billing Dispute,Tamil
software install avvatledu can you check this issue,Technical Support,Telugu
వెబ్‌సైట్ తెరవటం లేదు,Technical Support,Telugu
சேவையகத்துடன் இணைய முடியவில்லை this is urgent,Technical Support,Tamil
bill amount tappagide this is urgent,Billing Dispute,Kannada
upi payment fail ayyindi can you check this issue,Payment Failure,Telugu
unauthorized charge vesaru can you check this issue,Billing Dispute,Telugu
card payment nadakkavillai can you check this issue,Payment Failure,Tamil
online payment kaam nahi kar raha this is urgent,Payment Failure,Hindi
எனக்கு இரண்டு முறை கட்டணம் விதிக்கப்பட்டுள்ளது I need support today,Billing Dispute,Tamil
கணக்கிலிருந்து அதிக பணம் வெட்டப்பட்டுள்ளது can you check this issue,Billing Dispute,Tamil
ಸಂಪೂರ್ಣ ಹಣ ಹಿಂದಿರುಗಿಸಿ,Refund Request,Kannada
पैसे वापस कीजिए this is urgent,Refund Request,Hindi
ವಸ್ತು ದಾಷ್ಟ್ರಾಹಿತವಾಗಿದೆ this is urgent,Product Defect,Kannada
పార్సల్ ఎప్పుడు డిలివర్ అవుతుంది this is urgent,Delivery Inquiry,Telugu
server connect aguttilla can you check this issue,Technical Support,Kannada
ಸಾಫ್ಟ್‌ವೇರ್ ಇನ್‌ಸ್ಟಾಲ್ ಆಗುತ್ತಿಲ್ಲ I need support today,Technical Support,Kannada
transaction complete agalilla can you check this issue,Payment Failure,Kannada
transaction complete aagavillai,Payment Failure,Tamil
damaged product vachindi,Product Defect,Telugu
account nundi ekkuva dabbu cut ayyindi this is urgent,Billing Dispute,Telugu
upi payment fail agide can you check this issue,Payment Failure,Kannada
invoice tappagide please help me quickly,Billing Dispute,Kannada
Please return my money please help me quickly,Refund Request,English
Please process a full refund can you check this issue,Refund Request,English
nanna payment fail agide this is urgent,Payment Failure,Kannada
saman kharab nikla can you check this issue,Product Defect,Hindi
item defective undi please help me quickly,Product Defect,Telugu
ಡೆಲಿವರಿ ತಡವಾಗಿದೆ I need support today,Delivery Inquiry,Kannada
The invoice amount is wrong can you check this issue,Billing Dispute,English
ಆನ್‌ಲೈನ್ ಪೇಮೆಂಟ್ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ,Payment Failure,Kannada
पासवर्ड रीसेट नहीं हो रहा please help me quickly,Account Recovery,Hindi
bill amount thavaraaga ullathu please help me quickly,Billing Dispute,Tamil
अनधिकृत शुल्क लगाया गया,Billing Dispute,Hindi
I forgot my password please help me quickly,Account Recovery,English
package inka raledu,Delivery Inquiry,Telugu
ನನಗೆ ಎರಡು ಬಾರಿ ಚಾರ್ಜ್ ಮಾಡಲಾಗಿದೆ please help me quickly,Billing Dispute,Kannada
ಇನ್‌ವಾಯ್ಸ್ ತಪ್ಪಾಗಿದೆ can you check this issue,Billing Dispute,Kannada
I cannot log in to my account I need support today,Account Recovery,English
product toota hua hai,Product Defect,Hindi
కార్డ్ పేమెంట్ పని చేయటం లేదు this is urgent,Payment Failure,Telugu
సర్వర్‌కు కనెక్ట్ చేయటం లేదు,Technical Support,Telugu
నేను పాస్‌వర్డ్ మర్చిపోయాను,Account Recovery,Telugu
parcel eppudu deliver avutundi this is urgent,Delivery Inquiry,Telugu
password marchipoyanu can you check this issue,Account Recovery,Telugu
నేను పాస్‌వర్డ్ మర్చిపోయాను I need support today,Account Recovery,Telugu
error message vastondi please help me quickly,Technical Support,Telugu
I keep seeing an error message,Technical Support,English
software install aguttilla can you check this issue,Technical Support,Kannada
transaction complete kaledu can you check this issue,Payment Failure,Telugu
The product arrived broken can you check this issue,Product Defect,English
शिपमेंट ट्रैक नहीं हो रहा please help me quickly,Delivery Inquiry,Hindi
ನನಗೆ ರಿಫಂಡ್ ಬೇಕು please help me quickly,Refund Request,Kannada
ಅನುಮತಿರಹಿತ ಚಾರ್ಜ್ ಮಾಡಲಾಗಿದೆ please help me quickly,Billing Dispute,Kannada
device kelasa maduttilla please help me quickly,Product Defect,Kannada
error message vastondi I need support today,Technical Support,Telugu
खाते में लॉगिन नहीं हो रहा,Account Recovery,Hindi
software install aagavillai,Technical Support,Tamil
अनधिकृत शुल्क लगाया गया please help me quickly,Billing Dispute,Hindi
கணக்கு மீட்டெடுக்க உதவி தேவை I need support today,Account Recovery,Tamil
password reset nahi ho raha this is urgent,Account Recovery,Hindi
मेरा ऑर्डर कहाँ है can you check this issue,Delivery Inquiry,Hindi
error message baruttide I need support today,Technical Support,Kannada
hana vapas madi please help me quickly,Refund Request,Kannada
en payment fail aanathu can you check this issue,Payment Failure,Tamil
server se connect nahi ho raha,Technical Support,Hindi
website open aagavillai I need support today,Technical Support,Tamil
account login aagavillai,Account Recovery,Tamil
என் ஆர்டர் எங்கே உள்ளது this is urgent,Delivery Inquiry,Tamil
అనుమతి లేని ఛార్జ్ చేసారు can you check this issue,Billing Dispute,Telugu
bill mein galat amount hai please help me quickly,Billing Dispute,Hindi
full amount refund venum can you check this issue,Refund Request,Tamil
account ninda hecchu hana kaditagide,Billing Dispute,Kannada
I cannot connect to the server can you check this issue,Technical Support,English
ಪಾಸ್‌ವರ್ಡ್ ರಿಸೆಟ್ ಆಗುತ್ತಿಲ್ಲ,Account Recovery,Kannada
वेबसाइट नहीं खुल रही please help me quickly,Technical Support,Hindi
ವೆಬ್‌ಸೈಟ್ ತೆರೆಯುತ್ತಿಲ್ಲ,Technical Support,Kannada
software install avvatledu please help me quickly,Technical Support,Telugu
முழுத் தொகையும் திரும்பக் கொடுக்க வேண்டும்,Refund Request,Tamil
transaction complete nahi hua I need support today,Payment Failure,Hindi
online payment velai seyyavillai,Payment Failure,Tamil
My refund has not arrived can you check this issue,Refund Request,English
ಖಾತೆಯಲ್ಲಿ ಲಾಗಿನ್ ಆಗುತ್ತಿಲ್ಲ,Account Recovery,Kannada
package inka raledu this is urgent,Delivery Inquiry,Telugu
full amount refund kavali this is urgent,Refund Request,Telugu
పరికరం పని చేయటం లేదు please help me quickly,Product Defect,Telugu
பொருளின் தரம் மோசமாக உள்ளது,Product Defect,Tamil
software install aguttilla please help me quickly,Technical Support,Kannada
invoice tappuga undi,Billing Dispute,Telugu
password reset avvatledu,Account Recovery,Telugu
लेनदेन पूरा नहीं हुआ can you check this issue,Payment Failure,Hindi
nanna payment fail agide can you check this issue,Payment Failure,Kannada
mera refund abhi tak nahi mila please help me quickly,Refund Request,Hindi
ஆன்லைன் பணம் வேலை செய்யவில்லை can you check this issue,Payment Failure,Tamil
app crash ho raha hai this is urgent,Technical Support,Hindi
shipment track aguttilla can you check this issue,Delivery Inquiry,Kannada
డిలివరీ ఆలస్యమయ్యింది please help me quickly,Delivery Inquiry,Telugu
unauthorized charge potirukanga this is urgent,Billing Dispute,Tamil
షిప్‌మెంట్ ట్రాక్ చేయటం లేదు I need support today,Delivery Inquiry,Telugu
डिवाइस काम नहीं कर रहा this is urgent,Product Defect,Hindi
எனக்கு பணத்தைத் திரும்பக் கொடுக்க வேண்டும்,Refund Request,Tamil
నాకు రిఫండ్ కావాలి this is urgent,Refund Request,Telugu
bill amount tappagide I need support today,Billing Dispute,Kannada
ಖಾತೆಯಿಂದ ಹೆಚ್ಚು ಹಣ ಕಿತ್ತಿದೆ please help me quickly,Billing Dispute,Kannada
ఖాతా లాక్ అయ్యిపోయింది,Account Recovery,Telugu
प्रोडक्ट की गुणवत्ता खराब है please help me quickly,Product Defect,Hindi
பிழை செய்தி வருகிறது,Technical Support,Tamil
device kaam nahi kar raha this is urgent,Product Defect,Hindi
ಹಾನಿಗ್ರಸ್ತ ಪ್ರೋಡಕ್ಟ್ ಬಂದಿದೆ can you check this issue,Product Defect,Kannada
ఖాతాలో లాగిన్ చేయటం లేదు I need support today,Account Recovery,Telugu
సర్వర్‌కు కనెక్ట్ చేయటం లేదు please help me quickly,Technical Support,Telugu
en order enga irukku can you check this issue,Delivery Inquiry,Tamil
பொருள் குறைபாடுள்ளதாக உள்ளது this is urgent,Product Defect,Tamil
shipment track avvatledu can you check this issue,Delivery Inquiry,Telugu
mujhe refund chahiye I need support today,Refund Request,Hindi
en payment fail aanathu,Payment Failure,Tamil
server connect avvatledu can you check this issue,Technical Support,Telugu
பயன்பாடு செயலிழந்துவிடும் this is urgent,Technical Support,Tamil
mere account se zyada paise kate please help me quickly,Billing Dispute,Hindi
వ్యతिcrമైన ఉత్పత్తి వచ్చింది this is urgent,Product Defect,Telugu
ஆவணம் தவறாக உள்ளது I need support today,Billing Dispute,Tamil
சேதமடைந்த பொருள் வந்துவிட்டது I need support today,Product Defect,Tamil
server se connect nahi ho raha please help me quickly,Technical Support,Hindi
password reset avvatledu please help me quickly,Account Recovery,Telugu
कार्ड से भुगतान नहीं हुआ can you check this issue,Payment Failure,Hindi
product toota hua hai can you check this issue,Product Defect,Hindi
full amount refund venum I need support today,Refund Request,Tamil
डिवाइस काम नहीं कर रहा I need support today,Product Defect,Hindi
Please return my money can you check this issue,Refund Request,English
शिपमेंट ट्रैक नहीं हो रहा I need support today,Delivery Inquiry,Hindi
nanage eradu bari charge madalagide please help me quickly,Billing Dispute,Kannada
website nahi khul rahi I need support today,Technical Support,Hindi
password reset aagavillai this is urgent,Account Recovery,Tamil
என் பணம் தோல்வியடைந்தது please help me quickly,Payment Failure,Tamil
damaged product bandide I need support today,Product Defect,Kannada
ஆன்லைன் பணம் வேலை செய்யவில்லை I need support today,Payment Failure,Tamil
unauthorized charge vesaru this is urgent,Billing Dispute,Telugu
లావాదేవీ పూర్తి కాలేదు please help me quickly,Payment Failure,Telugu
refund kab milega I need support today,Refund Request,Hindi
கப்பல் கண்காணித்தல் சாத்தியமில்லை please help me quickly,Delivery Inquiry,Tamil
సర్వర్‌కు కనెక్ట్ చేయటం లేదు can you check this issue,Technical Support,Telugu
కార్డ్ పేమెంట్ పని చేయటం లేదు,Payment Failure,Telugu
ಖಾತೆ ವಿಸ್ತರಿಸಬೇಕು this is urgent,Account Recovery,Kannada
bill mein galat amount hai can you check this issue,Billing Dispute,Hindi
கணக்கு பூட்டப்பட்டுவிட்டது can you check this issue,Account Recovery,Tamil
online payment kaam nahi kar raha please help me quickly,Payment Failure,Hindi
மென்பொருளைப் பதிக்க முடியவில்லை can you check this issue,Technical Support,Tamil
அங்கீகாரம் இல்லாத கட்டணம் விதிக்கப்பட்டுள்ளது this is urgent,Billing Dispute,Tamil
My package has not arrived please help me quickly,Delivery Inquiry,English
கணக்கு மீட்டெடுக்க உதவி தேவை this is urgent,Account Recovery,Tamil
खाता वापस लेना है,Account Recovery,Hindi
யூபிআই பணம் தோல்வியடைந்தது I need support today,Payment Failure,Tamil
My account is locked please help me quickly,Account Recovery,English
refund eppodhu varum I need support today,Refund Request,Tamil
ಸಾಫ್ಟ್‌ವೇರ್ ಇನ್‌ಸ್ಟಾಲ್ ಆಗುತ್ತಿಲ್ಲ,Technical Support,Kannada
வலைதளத்தைத் திறக்க முடியவில்லை I need support today,Technical Support,Tamil
கணக்கில் உள்நுழைய முடியவில்லை,Account Recovery,Tamil
panam thirumba kodungal,Refund Request,Tamil
product quality chennagilla can you check this issue,Product Defect,Kannada
ప్యాకేజ్ ఇంకా రాలేదు can you check this issue,Delivery Inquiry,Telugu
मेरा रिफंड अभी तक नहीं मिला,Refund Request,Hindi
వెబ్‌సైట్ తెరవటం లేదు this is urgent,Technical Support,Telugu
app crash avutondi,Technical Support,Telugu
account ninda hecchu hana kaditagide this is urgent,Billing Dispute,Kannada
ಖಾತೆಯಲ್ಲಿ ಲಾಗಿನ್ ಆಗುತ್ತಿಲ್ಲ this is urgent,Account Recovery,Kannada
వ్యతिcrമైన ఉత్పత్తి వచ్చింది can you check this issue,Product Defect,Telugu
panam thirumba kodungal this is urgent,Refund Request,Tamil
मेरा खाता लॉक हो गया can you check this issue,Account Recovery,Hindi
சேவையகத்துடன் இணைய முடியவில்லை I need support today,Technical Support,Tamil
software install avvatledu I need support today,Technical Support,Telugu
ஆவணம் தவறாக உள்ளது please help me quickly,Billing Dispute,Tamil
ಪಾಸ್‌ವರ್ಡ್ ರಿಸೆಟ್ ಆಗುತ್ತಿಲ್ಲ I need support today,Account Recovery,Kannada
சாதனம் வேலை செய்யவில்லை,Product Defect,Tamil
refund innum varavillai,Refund Request,Tamil
unauthorized charge madalagide I need support today,Billing Dispute,Kannada
shipment track aguttilla I need support today,Delivery Inquiry,Kannada
கணக்கு பூட்டப்பட்டுவிட்டது please help me quickly,Account Recovery,Tamil
device kelasa maduttilla can you check this issue,Product Defect,Kannada
shipment track avvatledu please help me quickly,Delivery Inquiry,Telugu
பொருளின் தரம் மோசமாக உள்ளது can you check this issue,Product Defect,Tamil
mera order kahan hai I need support today,Delivery Inquiry,Hindi
मुझे दो बार चार्ज किया गया this is urgent,Billing Dispute,Hindi
पूरा पैसा वापस चाहिए I need support today,Refund Request,Hindi
full amount refund venum this is urgent,Refund Request,Tamil
ಸಾಧನೆ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ,Product Defect,Kannada
ಖಾತೆಯಿಂದ ಹೆಚ್ಚು ಹಣ ಕಿತ್ತಿದೆ this is urgent,Billing Dispute,Kannada
unauthorized charge potirukanga,Billing Dispute,Tamil
లావాదేవీ పూర్తి కాలేదు can you check this issue,Payment Failure,Telugu
account nundi ekkuva dabbu cut ayyindi can you check this issue,Billing Dispute,Telugu
refund innum varavillai this is urgent,Refund Request,Tamil
ರಿಫಂಡ್ ಇನ್ನೂ ಬಂದಿಲ್ಲ,Refund Request,Kannada
The delivery is delayed please help me quickly,Delivery Inquiry,English
பில் தொகை தவறாக உள்ளது can you check this issue,Billing Dispute,Tamil
damaged product vandhathu please help me quickly,Product Defect,Tamil
